*******************************************************************************,,,,,,,,,,
Revised: April 12, 2021         Earth Barycenter                              3,,,,,,,,,
 ,,,,,,,,,,
 Dynamical point:,,,,,,,,,,
 ---------------,,,,,,,,,,
 The common point about which the Earth and Moon revolve (center of mass). This,,,,,,,,,,
 is approximately 4671 km from the center of the Earth, or about 3/4 of the way ,,,,,,,,,
 to the surface. See 399 for Earth center, or 301 for Moon center ephemeris.,,,,,,,,,
*******************************************************************************,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Ephemeris / WWW_USER Wed Mar  8 07:28:40 2023 Pasadena, USA      / Horizons,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Target body name: Earth-Moon Barycenter (3)       {source: DE441},,,,,,,,,,
Center body name: Solar System Barycenter (0)     {source: DE441},,,,,,,,,,
Center-site name: BODY CENTER,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Start time      : A.D. 2020-Nov-16 09:03:00.0000 TDB,,,,,,,,,,
Stop  time      : A.D. 2022-Dec-11 17:21:14.7640 TDB,,,,,,,,,,
Step-size       : 1440 minutes,,,,,,,,,,
*******************************************************************************,,,,,,,,,,
Center geodetic : 0.0,0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)},,,,,,
Center cylindric: 0.0,0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)},,,,,,
Center radii    : (undefined),,,,,,,,,,
Output units    : KM-S,,,,,,,,,,
Calendar mode   : Mixed Julian/Gregorian,,,,,,,,,,
Output type     : GEOMETRIC cartesian states,,,,,,,,,,
2459250.877, A.D. 2021-Feb-05 09:03:00.0000,-1.08E+08,1.02E+08,1.25E+04,-2.10E+01,-2.17E+01,1.45E-03,4.96E+02,1.49E+08,2.92E-01
2459251.877, A.D. 2021-Feb-06 09:03:00.0000,-1.10E+08,1.01E+08,1.26E+04,-2.06E+01,-2.21E+01,1.46E-03,4.97E+02,1.49E+08,2.95E-01
2459252.877, A.D. 2021-Feb-07 09:03:00.0000,-1.12E+08,9.86E+07,1.27E+04,-2.02E+01,-2.24E+01,1.48E-03,4.97E+02,1.49E+08,2.98E-01
2459253.877, A.D. 2021-Feb-08 09:03:00.0000,-1.13E+08,9.66E+07,1.29E+04,-1.98E+01,-2.28E+01,1.49E-03,4.97E+02,1.49E+08,3.01E-01
2459254.877, A.D. 2021-Feb-09 09:03:00.0000,-1.15E+08,9.47E+07,1.30E+04,-1.94E+01,-2.31E+01,1.51E-03,4.97E+02,1.49E+08,3.04E-01
2459255.877, A.D. 2021-Feb-10 09:03:00.0000,-1.17E+08,9.26E+07,1.31E+04,-1.90E+01,-2.35E+01,1.52E-03,4.97E+02,1.49E+08,3.07E-01
2459256.877, A.D. 2021-Feb-11 09:03:00.0000,-1.18E+08,9.06E+07,1.33E+04,-1.86E+01,-2.38E+01,1.53E-03,4.97E+02,1.49E+08,3.09E-01
2459257.877, A.D. 2021-Feb-12 09:03:00.0000,-1.20E+08,8.85E+07,1.34E+04,-1.82E+01,-2.41E+01,1.55E-03,4.97E+02,1.49E+08,3.12E-01
2459258.877, A.D. 2021-Feb-13 09:03:00.0000,-1.21E+08,8.64E+07,1.35E+04,-1.78E+01,-2.44E+01,1.56E-03,4.97E+02,1.49E+08,3.14E-01
2459259.877, A.D. 2021-Feb-14 09:03:00.0000,-1.23E+08,8.43E+07,1.37E+04,-1.73E+01,-2.47E+01,1.57E-03,4.97E+02,1.49E+08,3.16E-01
2459260.877, A.D. 2021-Feb-15 09:03:00.0000,-1.24E+08,8.22E+07,1.38E+04,-1.69E+01,-2.50E+01,1.59E-03,4.97E+02,1.49E+08,3.18E-01
2459261.877, A.D. 2021-Feb-16 09:03:00.0000,-1.26E+08,8.00E+07,1.39E+04,-1.64E+01,-2.53E+01,1.60E-03,4.97E+02,1.49E+08,3.20E-01
2459262.877, A.D. 2021-Feb-17 09:03:00.0000,-1.27E+08,7.78E+07,1.41E+04,-1.60E+01,-2.56E+01,1.61E-03,4.98E+02,1.49E+08,3.22E-01
2459263.877, A.D. 2021-Feb-18 09:03:00.0000,-1.29E+08,7.56E+07,1.42E+04,-1.56E+01,-2.58E+01,1.62E-03,4.98E+02,1.49E+08,3.24E-01
2459264.877, A.D. 2021-Feb-19 09:03:00.0000,-1.30E+08,7.33E+07,1.44E+04,-1.51E+01,-2.61E+01,1.63E-03,4.98E+02,1.49E+08,3.26E-01
2459265.877, A.D. 2021-Feb-20 09:03:00.0000,-1.31E+08,7.11E+07,1.45E+04,-1.46E+01,-2.63E+01,1.64E-03,4.98E+02,1.49E+08,3.28E-01
2459266.877, A.D. 2021-Feb-21 09:03:00.0000,-1.32E+08,6.88E+07,1.46E+04,-1.42E+01,-2.66E+01,1.65E-03,4.98E+02,1.49E+08,3.29E-01
2459267.877, A.D. 2021-Feb-22 09:03:00.0000,-1.34E+08,6.65E+07,1.48E+04,-1.37E+01,-2.68E+01,1.66E-03,4.98E+02,1.49E+08,3.31E-01
2459268.877, A.D. 2021-Feb-23 09:03:00.0000,-1.35E+08,6.42E+07,1.49E+04,-1.32E+01,-2.70E+01,1.67E-03,4.98E+02,1.49E+08,3.32E-01
