            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2324420.499305556, A.D. 1651-Dec-11 23:59:00.0000, -4.995633254576340E+09, -3.909415456298073E+10, -1.487785452616725E+10,  3.084455923396419E-01,  2.302498788365781E+00,  9.411574414642463E-01,  1.405195842934516E+05,  4.212671157247206E+10, -2.505714880937184E+00,
2324786.499305556, A.D. 1652-Dec-11 23:59:00.0000, -4.985875019284675E+09, -3.902130923629443E+10, -1.484807963017917E+10,  3.087269202364289E-01,  2.304700453064839E+00,  9.419952628710727E-01,  1.402551541577647E+05,  4.204743741212519E+10, -2.508084441774059E+00,
2325151.499305556, A.D. 1653-Dec-11 23:59:00.0000, -4.976134569629881E+09, -3.894859347244829E+10, -1.481835965280441E+10,  3.090085178229937E-01,  2.306904428242246E+00,  9.428338473789050E-01,  1.399911971199979E+05,  4.196830508296670E+10, -2.510456439883877E+00,
2325516.499305556, A.D. 1654-Dec-11 23:59:00.0000, -4.966385223080853E+09, -3.887580807221456E+10, -1.478861318150785E+10,  3.092911587944467E-01,  2.309116773263542E+00,  9.436754997946343E-01,  1.397269900945338E+05,  4.188909780938194E+10, -2.512837396229259E+00,
2325881.499305556, A.D. 1655-Dec-11 23:59:00.0000, -4.956626946619062E+09, -3.880295277073050E+10, -1.475884011921393E+10,  3.095748503305836E-01,  2.311337546195348E+00,  9.445202408002487E-01,  1.394625321357872E+05,  4.180981530789165E+10, -2.515227372718420E+00,
2326247.499305556, A.D. 1656-Dec-11 23:59:00.0000, -4.946832935100233E+09, -3.872982740886351E+10, -1.472895868829348E+10,  3.098603810648539E-01,  2.313572923941517E+00,  9.453704180921408E-01,  1.391970967123369E+05,  4.173023976985519E+10, -2.517633016082415E+00,
2326612.499305556, A.D. 1657-Dec-11 23:59:00.0000, -4.937056674165092E+09, -3.865683130965620E+10, -1.469913207665771E+10,  3.101461984060038E-01,  2.315810747308657E+00,  9.462214062423665E-01,  1.389321333303112E+05,  4.165080574627773E+10, -2.520041240645255E+00,
2326977.499305556, A.D. 1658-Dec-11 23:59:00.0000, -4.927271382800679E+09, -3.858376450302673E+10, -1.466927857865394E+10,  3.104330881196981E-01,  2.318057168705472E+00,  9.470755436903580E-01,  1.386669161370219E+05,  4.157129563199766E+10, -2.522458666839402E+00,
2327342.499305556, A.D. 1659-Dec-11 23:59:00.0000, -4.917477027094376E+09, -3.851062671693312E+10, -1.463939809464638E+10,  3.107210563711704E-01,  2.320312244995296E+00,  9.479328508137601E-01,  1.384014441613484E+05,  4.149170913588039E+10, -2.524885355222556E+00,
2327708.499305556, A.D. 1660-Dec-11 23:59:00.0000, -4.907646701612196E+09, -3.843721700666811E+10, -1.460940854849984E+10,  3.110109037490292E-01,  2.322582249753569E+00,  9.487957105486707E-01,  1.381349880522651E+05,  4.141182760398920E+10, -2.527328055909090E+00,
2328073.499305556, A.D. 1661-Dec-11 23:59:00.0000, -4.897834089549188E+09, -3.836393624178966E+10, -1.457947371632090E+10,  3.113010538357298E-01,  2.324854839218115E+00,  9.496594296362872E-01,  1.378690028674664E+05,  4.133208725164680E+10, -2.529773485524655E+00,
2328438.499305556, A.D. 1662-Dec-11 23:59:00.0000, -4.888012309967232E+09, -3.829058366936194E+10, -1.454951159495480E+10,  3.115923051090114E-01,  2.327136264789849E+00,  9.505263829942173E-01,  1.376027599443902E+05,  4.125226963131268E+10, -2.532228370567034E+00,
